event_player_1,event_team,xG,Goals,Difference
Alexa Gruschow,MET,4.787208018646226,9,-4.212791981353774
Alyssa Gagliardi,BOS,2.1844585975785415,0,2.1844585975785415
Amanda Boulier,CTW,3.3012709231389317,3,0.30127092313893167
Anya Battaglino,CTW,0.8384191111236574,0,0.8384191111236574
Ashley Johnston,MET,0.4739781845228799,1,-0.5260218154771201
Bray Ketchum,MET,3.4915806514984316,5,-1.5084193485015684
Cheeky Herr,MET,0.07275984181550235,0,0.07275984181550235
Colleen  Murphy,BUF,0.3674949592675043,0,0.3674949592675043
Corey  Stearns,BOS,0.7462842394905175,0,0.7462842394905175
Corinne Buie,BUF,5.196588589281004,4,1.1965885892810038
Courtney Burke,MET,2.688432762927978,2,0.6884327629279778
Cydney Roesler,CTW,2.090646385166935,1,1.0906463851669348
Dana Trivigno,BOS,4.040828246504214,2,2.040828246504214
Elena Orlando,CTW,0.5670320406182568,0,0.5670320406182568
Emily Field,BOS,3.7584869720328578,3,0.7584869720328578
Emily Fluke,CTW,4.66153717989763,4,0.6615371798976302
Emma Greco,CTW,0.37723776986618973,0,0.37723776986618973
Erika  Lawler,MET,2.2553768839597668,1,1.2553768839597668
Grace Klienbach,CTW,1.0094479068307527,1,0.009447906830752695
Haley Skarupa,BOS,2.57754222119707,2,0.5775422211970702
Hanna  Beattie,CTW,0.8839913167672678,0,0.8839913167672678
Harrison Browne,MET,1.9953408900184184,3,-1.0046591099815816
Hayley  Scamurra,BUF,5.928064643120184,6,-0.07193535687981623
Heather  Schwarz,BOS,2.3969331630955244,1,1.3969331630955244
Hillary  Crowe,MET,0.5744720888091593,0,0.5744720888091593
Jacquie Greco,BUF,0.724431811990235,0,0.724431811990235
Jamie Goldsmith,CTW,2.762015465629701,2,0.7620154656297009
Janine Weber,BOS,3.012699529815028,3,0.012699529815027866
Jenny Ryan,MET,3.6766768678895287,3,0.6766768678895287
Jess Jones,BUF,2.1554318767541663,3,-0.8445681232458337
Jillian Dempsey,BOS,4.386772555735428,7,-2.613227444264572
Jordan  Juron,BUF,0.45097363458088024,1,-0.5490263654191198
Jordan  Ott,BUF,0.406349180709484,0,0.406349180709484
Jordan Brickner,CTW,1.0474632871767677,1,0.04746328717676773
Jordan Smelker,BOS,1.0426124664401442,2,-0.9573875335598558
Jordyn Burns,BUF,0.21831278849623625,0,0.21831278849623625
Juana Baribeau,CTW,2.653538939396343,1,1.653538939396343
Kaleigh Fratkin,BOS,0.7931787750281936,0,0.7931787750281936
Kaliya Johnson,BOS,0.5546044709441416,0,0.5546044709441416
Katherine Donohue,BUF,0.32332172787424723,1,-0.6766782721257527
Kathryn Tomaselli,BOS,0.7371398309875186,0,0.7371398309875186
Kaycie Anderson,CTW,1.8439628456756818,1,0.8439628456756818
Kayla Parsons,BUF,0.038973994616511,0,0.038973994616511
Kaylyn  Schroka,BUF,2.14889916590146,4,-1.8511008340985402
Kelly Babstock,CTW,7.1278801578654525,4,3.1278801578654525
Kelly Nash,MET,2.3404863908693825,2,0.3404863908693825
Kelsey  Koelzer,MET,1.3699991324514373,4,-2.6300008675485627
Kiira Dosdall,MET,1.1463476475761807,0,1.1463476475761807
Kourtney Kunichika,BUF,3.14543188327015,3,0.14543188327015022
Kristin Lewicki,BUF,3.7954443649867735,4,-0.2045556350132265
Lauren Wash,MET,0.6414489915190539,1,-0.3585510084809461
Lexi Bender,BOS,1.3618505897551771,0,1.3618505897551771
Lindsey Hylwa,MET,0.16886483212698944,0,0.16886483212698944
Lisa Chesson,BUF,1.6805288986066487,1,0.6805288986066487
Maddie  Elia,BUF,5.3672372958585335,4,1.3672372958585335
Madison  Litchfield,BOS,0.13685361658135659,0,0.13685361658135659
Madison Packer,MET,4.506210777894119,10,-5.493789222105881
Mallory Souliotis,BOS,0.1574784814807786,0,0.1574784814807786
Marissa Gedman,BOS,0.18950592376449205,0,0.18950592376449205
Mary Parker,BOS,2.1991123584232404,1,1.1991123584232404
Meagan Mangene,BOS,1.5039345931074557,2,-0.4960654068925443
Meghan   Huertas,CTW,2.180685879495552,2,0.18068587949555193
Michaela Levine,BOS,0.12550648068809026,0,0.12550648068809026
Michelle Picard,MET,1.6589148072808657,0,1.6589148072808657
Miye D'Oench,MET,4.342286957310496,6,-1.6577130426895037
Paige Harrington,BOS,0.26909921099525536,0,0.26909921099525536
Paige Savage,CTW,0.558755229772393,0,0.558755229772393
Rachael Ade,CTW,1.8229658639103796,0,1.8229658639103796
Rebecca  Vint,BUF,3.549299435662112,3,0.5492994356621121
Rebecca Morse,MET,1.1443792089945763,0,1.1443792089945763
Rebecca Russo,MET,4.410262602926198,7,-2.589737397073802
Sam Donovan,CTW,0.20286984215255666,0,0.20286984215255666
Sam Faber,CTW,2.3009063016432356,3,-0.6990936983567644
Sarah  Edney,BUF,2.420541752621071,2,0.42054175262107085
Sarah Casorso,BUF,1.3625262437751555,0,1.3625262437751555
Sarah Shureb,BUF,1.417073920667291,1,0.4170739206672911
Shannon Doyle,CTW,1.6644192433127534,0,1.6644192433127534
Stephanie  Mock,CTW,1.0881918107614137,0,1.0881918107614137
Sydney   Daniels,BOS,0.9640239038952647,2,-1.0359760961047353
Tatiana Rafter,MET,3.4345689807527764,4,-0.5654310192472236
Taylor Accursi,BUF,5.389911575661577,6,-0.6100884243384233
